x,px,y,py,l,delta
-5.777836773239225e-23,2.6878102575058043e-25,0.0,0.0,9.5634981484761e-14,9.027775122972357e-31
2.7013632386129656e-23,2.2507092142589003e-25,0.0,0.0,1.912699630786011e-13,1.8055571737287525e-30
-4.4064051101568186e-23,2.2714933358674762e-26,0.0,0.0,2.8690494477540275e-13,2.7083368351602693e-30
-2.084125159432587e-23,3.739398407946851e-25,0.0,0.0,3.825399265828123e-13,3.611116496591786e-30
1.4945393413652197e-23,4.254904283074749e-26,0.0,0.0,4.781749084978202e-13,4.513896158023303e-30
-6.266137337703353e-23,1.9492957335411455e-25,0.0,0.0,5.738098905193235e-13,5.41667581945482e-30
1.9488848704713034e-23,2.9475188997456152e-25,0.0,0.0,6.694448726549634e-13,6.319455480886337e-30
-2.7745798651690464e-23,-9.325856586608145e-27,0.0,0.0,7.650798548941866e-13,7.222235142317853e-30
-3.81148242353794e-23,3.529503752711675e-25,0.0,0.0,8.607148372433229e-13,8.12501480374937e-30
2.487735294971621e-23,1.0648694349144444e-25,0.0,0.0,9.563498196956429e-13,9.027794465180887e-30
-6.048108419091295e-23,1.1875437811746565e-25,0.0,0.0,1.0519848022611043e-12,9.930574126612404e-30
6.2436049338792686e-24,3.4657532846602504e-25,0.0,0.0,1.1476197849260593e-12,1.083335378804392e-29
-9.797615909723167e-24,-1.1905308732350457e-26,0.0,0.0,1.2432547677007633e-12,1.1736133449475437e-29
-5.214489679877285e-23,3.0504685895223636e-25,0.0,0.0,1.3388897505869358e-12,1.2638913110906954e-29
2.8250324772855433e-23,1.8186404561868513e-25,0.0,0.0,1.4345247335794213e-12,1.354169277233847e-29
-5.157678270436112e-23,5.210939532934947e-26,0.0,0.0,1.5301597166941075e-12,1.4444472433769988e-29
-1.0660946797187304e-23,3.724767650091734e-25,0.0,0.0,1.6257946999237875e-12,1.5347252095201505e-29
6.987503720012817e-24,1.5377976687547002e-26,0.0,0.0,1.7214296832532881e-12,1.6250031756633021e-29
-6.074818653973815e-23,2.3768376748375936e-25,0.0,0.0,1.8170646666796138e-12,1.7152811418064538e-29
2.4539427804158735e-23,2.569505887642835e-25,0.0,0.0,1.912699650212526e-12,1.8055591079496055e-29
