t,x,y,z
0.000000000000000000e+00,5.000000000000000000e+03,0.000000000000000000e+00,5.000000000000000000e+02
1.391587709654790617e+00,5.000000000000000000e+03,-6.957938548273952506e+01,5.000000000000000000e+02
2.783175419309581233e+00,5.000000000000000000e+03,-1.391587709654790501e+02,5.000000000000000000e+02
4.174763128964371184e+00,5.000000000000000000e+03,-2.087381564482185468e+02,5.000000000000000000e+02
5.566350838619162467e+00,5.000000000000000000e+03,-2.783175419309581002e+02,5.000000000000000000e+02
6.957938548273952861e+00,5.000000000000000000e+03,-3.478969274136976537e+02,5.000000000000000000e+02
8.349526257928742368e+00,5.000000000000000000e+03,-4.174763128964370935e+02,5.000000000000000000e+02
9.741113967583533650e+00,5.000000000000000000e+03,-4.870556983791767038e+02,5.000000000000000000e+02
1.113270167723832493e+01,5.000000000000000000e+03,-5.566350838619162005e+02,5.000000000000000000e+02
1.252428938689311444e+01,5.000000000000000000e+03,-6.262144693446557540e+02,5.000000000000000000e+02
1.391587709654790572e+01,5.000000000000000000e+03,-6.957938548273953074e+02,5.000000000000000000e+02
1.530746480620269523e+01,5.000000000000000000e+03,-7.653732403101347472e+02,5.000000000000000000e+02
1.669905251585748474e+01,5.000000000000000000e+03,-8.349526257928741870e+02,5.000000000000000000e+02
1.809064022551227779e+01,5.000000000000000000e+03,-9.045320112756138542e+02,5.000000000000000000e+02
1.948222793516706730e+01,5.000000000000000000e+03,-9.741113967583534077e+02,5.000000000000000000e+02
2.087381564482185681e+01,5.000000000000000000e+03,-1.043690782241092847e+03,5.000000000000000000e+02
2.226540335447664987e+01,5.000000000000000000e+03,-1.113270167723832401e+03,5.000000000000000000e+02
2.365699106413143937e+01,5.000000000000000000e+03,-1.182849553206571954e+03,5.000000000000000000e+02
2.504857877378622888e+01,5.000000000000000000e+03,-1.252428938689311508e+03,5.000000000000000000e+02
2.644016648344101839e+01,5.000000000000000000e+03,-1.322008324172050834e+03,5.000000000000000000e+02
2.783175419309581144e+01,5.000000000000000000e+03,-1.391587709654790615e+03,5.000000000000000000e+02
2.922334190275060095e+01,5.000000000000000000e+03,-1.461167095137529941e+03,5.000000000000000000e+02
3.061492961240539046e+01,5.000000000000000000e+03,-1.530746480620269494e+03,5.000000000000000000e+02
3.200651732206018352e+01,5.000000000000000000e+03,-1.600325866103009275e+03,5.000000000000000000e+02
3.339810503171496947e+01,5.000000000000000000e+03,-1.669905251585748374e+03,5.000000000000000000e+02
3.478969274136976253e+01,5.000000000000000000e+03,-1.739484637068488155e+03,5.000000000000000000e+02
3.618128045102455559e+01,5.000000000000000000e+03,-1.809064022551227708e+03,5.000000000000000000e+02
3.757286816067934154e+01,5.000000000000000000e+03,-1.878643408033967034e+03,5.000000000000000000e+02
3.896445587033413460e+01,5.000000000000000000e+03,-1.948222793516706815e+03,5.000000000000000000e+02
4.035604357998892766e+01,5.000000000000000000e+03,-2.017802178999446369e+03,5.000000000000000000e+02
4.174763128964371361e+01,5.000000000000000000e+03,-2.087381564482185695e+03,5.000000000000000000e+02
4.313921899929850667e+01,5.000000000000000000e+03,-2.156960949964925476e+03,5.000000000000000000e+02
4.453080670895329973e+01,5.000000000000000000e+03,-2.226540335447664802e+03,5.000000000000000000e+02
4.592239441860808569e+01,5.000000000000000000e+03,-2.296119720930404128e+03,5.000000000000000000e+02
4.731398212826287875e+01,5.000000000000000000e+03,-2.365699106413143909e+03,5.000000000000000000e+02
4.870556983791766470e+01,5.000000000000000000e+03,-2.435278491895883235e+03,5.000000000000000000e+02
5.009715754757245776e+01,5.000000000000000000e+03,-2.504857877378623016e+03,5.000000000000000000e+02
5.148874525722725082e+01,5.000000000000000000e+03,-2.574437262861362342e+03,5.000000000000000000e+02
5.288033296688203677e+01,5.000000000000000000e+03,-2.644016648344101668e+03,5.000000000000000000e+02
5.427192067653682983e+01,5.000000000000000000e+03,-2.713596033826841449e+03,5.000000000000000000e+02
5.566350838619162289e+01,5.000000000000000000e+03,-2.783175419309581230e+03,5.000000000000000000e+02
5.705509609584640884e+01,5.000000000000000000e+03,-2.852754804792320556e+03,5.000000000000000000e+02
5.844668380550120190e+01,5.000000000000000000e+03,-2.922334190275059882e+03,5.000000000000000000e+02
5.983827151515599496e+01,5.000000000000000000e+03,-2.991913575757799663e+03,5.000000000000000000e+02
6.122985922481078092e+01,5.000000000000000000e+03,-3.061492961240538989e+03,5.000000000000000000e+02
6.262144693446557397e+01,5.000000000000000000e+03,-3.131072346723278770e+03,5.000000000000000000e+02
6.401303464412036703e+01,5.000000000000000000e+03,-3.200651732206018551e+03,5.000000000000000000e+02
6.540462235377515299e+01,5.000000000000000000e+03,-3.270231117688757877e+03,5.000000000000000000e+02
6.679621006342993894e+01,5.000000000000000000e+03,-3.339810503171496748e+03,5.000000000000000000e+02
6.818779777308473911e+01,5.000000000000000000e+03,-3.409389888654236984e+03,5.000000000000000000e+02
6.957938548273952506e+01,5.000000000000000000e+03,-3.478969274136976310e+03,5.000000000000000000e+02
7.097097319239431101e+01,5.000000000000000000e+03,-3.548548659619715636e+03,5.000000000000000000e+02
7.236256090204911118e+01,5.000000000000000000e+03,-3.618128045102455417e+03,5.000000000000000000e+02
7.375414861170389713e+01,5.000000000000000000e+03,-3.687707430585194743e+03,5.000000000000000000e+02
7.514573632135868309e+01,5.000000000000000000e+03,-3.757286816067934069e+03,5.000000000000000000e+02
7.653732403101348325e+01,5.000000000000000000e+03,-3.826866201550674305e+03,5.000000000000000000e+02
7.792891174066826920e+01,5.000000000000000000e+03,-3.896445587033413631e+03,5.000000000000000000e+02
7.932049945032305516e+01,5.000000000000000000e+03,-3.966024972516152957e+03,5.000000000000000000e+02
8.071208715997785532e+01,5.000000000000000000e+03,-4.035604357998892738e+03,5.000000000000000000e+02
8.210367486963264128e+01,5.000000000000000000e+03,-4.105183743481631609e+03,5.000000000000000000e+02
8.349526257928742723e+01,5.000000000000000000e+03,-4.174763128964371390e+03,5.000000000000000000e+02
8.488685028894222739e+01,5.000000000000000000e+03,-4.244342514447111171e+03,5.000000000000000000e+02
