x,px,y,py,l,delta
2.2205531894217393e-22,1.8212535979253877e-24,0.0,0.0,-7.020725313093286e-13,-1.9409766152670103e-30
6.297201689272293e-22,-9.412972178955563e-25,0.0,0.0,-1.4014723490003256e-12,-6.0185322329700216e-30
1.6865969621266333e-22,-7.884181282968028e-25,0.0,0.0,-2.092996196540072e-12,-1.2435792068189043e-29
7.676725374195315e-22,-4.3063625789046115e-25,0.0,0.0,-2.7718470961636346e-12,-2.0763934992969026e-29
5.419586110731027e-22,-3.11109408084211e-24,0.0,0.0,-3.4338431911932427e-12,-3.076974422959948e-29
4.299530319445694e-22,-1.085425217925615e-24,0.0,0.0,-4.075550301034814e-12,-4.210715254260899e-29
9.017351013232587e-22,-2.820163225112344e-24,0.0,0.0,-4.694334206984843e-12,-5.427963178236453e-29
3.201014872729858e-22,-3.1835311561350797e-24,0.0,0.0,-5.2883430530457204e-12,-6.711414946842117e-29
7.18316792212212e-22,-1.5388025671016024e-24,0.0,0.0,-5.856438612895423e-12,-8.015179337763606e-29
6.55603332654563e-22,-4.0407281654229756e-24,0.0,0.0,-6.398097216258356e-12,-9.334742197611489e-29
2.957590334143264e-22,-2.033735203899154e-24,0.0,0.0,-6.913298612136895e-12,-1.0641891854306292e-28
8.348770135262929e-22,-2.5693289629088273e-24,0.0,0.0,-7.40241629186142e-12,-1.1927224404175444e-28
2.9435956142971903e-22,-3.6259895407927986e-24,0.0,0.0,-7.86611775097827e-12,-1.3178326517406348e-28
4.88037348535315e-22,-1.2515642383539413e-24,0.0,0.0,-8.305278917867229e-12,-1.4381280386141801e-28
6.419121904061955e-22,-3.4950635041396204e-24,0.0,0.0,-8.72091393654521e-12,-1.5534581435065038e-28
1.2238332318864395e-22,-2.0974360572130557e-24,0.0,0.0,-9.114119595912042e-12,-1.6632587234721445e-28
6.695211932944032e-22,-1.5820235443764499e-24,0.0,0.0,-9.48603271106836e-12,-1.768282089238562e-28
2.743180397141197e-22,-3.354078007475317e-24,0.0,0.0,-9.837798384746275e-12,-1.8672869319368246e-28
2.4997306270192636e-22,-7.708738822075854e-25,0.0,0.0,-1.0170547073171665e-11,-1.9619283370922157e-28
6.091609202132425e-22,-2.5320590394853863e-24,0.0,0.0,-1.0485378582285504e-11,-2.051378757078486e-28
1.8523828962194093e-23,-2.0640237657518198e-24,0.0,0.0,-1.0783351387070194e-11,-2.1359391166127354e-28
4.910972220293649e-22,-6.571754077501646e-25,0.0,0.0,-1.1065475965385834e-11,-2.216512200638774e-28
3.010222093338122e-22,-2.922937652169638e-24,0.0,0.0,-1.1332711095837033e-11,-2.292947548076401e-28
5.826828277519057e-23,-5.621790781106285e-25,0.0,0.0,-1.158596230921996e-11,-2.3652827660535313e-28
5.620410925877862e-22,-1.5755685811755118e-24,0.0,0.0,-1.182608187021201e-11,-2.433743556964606e-28
-1.2049425288993054e-23,-2.1046859110065045e-24,0.0,0.0,-1.2053869818152003e-11,-2.4988377314230977e-28
3.091159547662282e-22,-1.3243946938489126e-26,0.0,0.0,-1.2270075713610343e-11,-2.5606405214935753e-28
3.510896187914183e-22,-2.4063828389599646e-24,0.0,0.0,-1.2475400839812564e-11,-2.6191519293139693e-28
-7.487985525087678e-23,-6.2238747755324065e-25,0.0,0.0,-1.2670500663685826e-11,-2.674560031754319e-28
4.92132817032808e-22,-7.179574102397625e-25,0.0,0.0,-1.2855987427157844e-11,-2.7275983365401596e-28
2.0485539517532007e-23,-2.1492082728080716e-24,0.0,0.0,-1.3032432769749447e-11,-2.7778906859347323e-28
1.36509357670397e-22,3.1539198263080447e-25,0.0,0.0,-1.3200370321242799e-11,-2.8253618498865016e-28
4.0023719630952676e-22,-1.8171120607983565e-24,0.0,0.0,-1.336029821618973e-11,-2.8708957986926118e-28
-1.461591408884072e-22,-8.708386733981402e-25,0.0,0.0,-1.3512681503655722e-11,-2.914436111011946e-28
3.9276074299150123e-22,-1.6926145228825185e-26,0.0,0.0,-1.3657954435883854e-11,-2.956114440393454e-28
9.424986902829534e-23,-2.1115165287085096e-24,0.0,0.0,-1.3796522625950773e-11,-2.996024826627647e-28
-1.5322211628270338e-23,3.575584743515898e-25,0.0,0.0,-1.3928765070845364e-11,-3.0339415746375365e-28
4.269124245298348e-22,-1.1689574659871485e-24,0.0,0.0,-1.4055036042626754e-11,-3.07016560461457e-28
-1.5697929085481491e-22,-1.1953311277955775e-24,0.0,0.0,-1.4175666848275864e-11,-3.104960236972793e-28
2.6796720436248348e-22,4.865959425317397e-25,0.0,0.0,-1.4290967467363107e-11,-3.1383254697616196e-28
1.8711086728092344e-22,-1.934665436183309e-24,0.0,0.0,-1.44012280683591e-11,-3.1702989161701073e-28
-1.328379424601016e-22,1.6481254934282457e-25,0.0,0.0,-1.4506720416724712e-11,-3.2010310341376826e-28
4.1737465101024764e-22,-5.085501889965351e-25,0.0,0.0,-1.460769917609292e-11,-3.2303149516351333e-28
-1.1473296503828795e-22,-1.4944001959024234e-24,0.0,0.0,-1.4704403112788985e-11,-3.258714897193421e-28
1.286535265923458e-22,7.623014857860044e-25,0.0,0.0,-1.4797056211587308e-11,-3.2859675545715057e-28
2.7668658879715763e-22,-1.600935445378303e-24,0.0,0.0,-1.488586870293534e-11,-3.31207293664105e-28
-2.0510123143320212e-22,-1.9041053012119562e-25,0.0,0.0,-1.4971038018739236e-11,-3.337632888736719e-28
3.663009809256297e-22,1.0099780507042811e-25,0.0,0.0,-1.5052749671662844e-11,-3.3618010530010483e-28
-3.23125471009104e-23,-1.6845552207252588e-24,0.0,0.0,-1.513117806950427e-11,-3.385480211277481e-28
-9.387049021199374e-24,8.016815437058766e-25,0.0,0.0,-1.520648726952025e-11,-3.408313013871114e-28
3.4353525317938424e-22,-1.1302262313451202e-24,0.0,0.0,-1.5278831677030628e-11,-3.4301772074519368e-28
